BPSCS22957-23,1004009006288,19.68,0.20,23.07622,-5.32045,55119.28661,0
BPSCS22957-23,1004009006288,19.80,0.21,23.07595,-5.32130,55119.30253,0
BPSCS22957-23,1004009006288,19.37,0.20,23.07603,-5.32074,55131.24645,0
BPSCS22957-23,1004009006288,19.75,0.24,23.07625,-5.32104,55131.25421,0
BPSCS22957-23,1004009006288,20.81,0.44,23.07597,-5.32093,55090.36819,0
BPSCS22957-23,1004009006288,20.02,0.28,23.07627,-5.32101,55090.37697,0
BPSCS22957-23,1004009006288,20.56,0.37,23.07567,-5.32125,55212.09435,0
BPSCS22957-23,1004009006288,20.60,0.38,23.07574,-5.32096,55212.10847,0
BPSCS22957-23,1004009006288,20.14,0.30,23.07637,-5.32062,55501.22703,0
BPSCS22957-23,1004009006288,20.58,0.53,23.07609,-5.32030,55501.24380,0
BPSCS22957-23,1004009006288,20.16,0.31,23.07599,-5.32056,55508.22121,0
BPSCS22957-23,1004009006288,20.38,0.34,23.07575,-5.32066,55508.24205,0
BPSCS22957-23,1004009006288,19.87,0.26,23.07612,-5.32092,55530.17913,0
BPSCS22957-23,1004009006288,20.00,0.28,23.07606,-5.32068,55530.18947,0
BPSCS22957-23,1004009006288,19.69,0.24,23.07573,-5.32108,55476.32307,0
BPSCS22957-23,1004009006288,20.37,0.35,23.07563,-5.32076,55481.32328,0
BPSCS22957-23,1004009006288,20.10,0.30,23.07653,-5.32096,55481.34244,0
BPSCS22957-23,1004009006288,20.31,0.34,23.07628,-5.32094,55565.15967,0
BPSCS22957-23,1004009006288,19.99,0.28,23.07608,-5.32052,55824.44187,0
BPSCS22957-23,1004009006288,21.07,0.51,23.07606,-5.32030,55861.34603,0
BPSCS22957-23,1004009006288,19.85,0.26,23.07584,-5.32075,55861.36110,0
BPSCS22957-23,1004009006288,17.87,0.10,23.07717,-5.31986,55868.22426,0
BPSCS22957-23,1004009006288,20.47,0.35,23.07528,-5.32066,55851.28009,0
BPSCS22957-23,1004009006288,19.68,0.21,23.07583,-5.32048,56185.39287,0
BPSCS22957-23,1004009006288,20.57,0.33,23.07617,-5.32124,56185.40021,0
BPSCS22957-23,1004009006288,20.53,0.32,23.07619,-5.32075,56185.42110,0
BPSCS22957-23,1004009006288,19.48,0.22,23.07506,-5.32102,56215.29801,0
BPSCS22957-23,1004009006288,20.04,0.24,23.07586,-5.32050,56238.25824,0
BPSCS22957-23,1004009006288,20.55,0.32,23.07551,-5.32062,56238.26622,0
BPSCS22957-23,1004009006288,20.72,0.35,23.07607,-5.32054,56273.22227,0
BPSCS22957-23,1004009006288,19.92,0.23,23.07576,-5.32103,56273.22837,0
BPSCS22957-23,1004009006288,20.32,0.28,23.07563,-5.32078,56273.24061,0
BPSCS22957-23,1004009006288,19.78,0.27,23.07629,-5.32060,56540.42821,0
BPSCS22957-23,1004009006288,20.32,0.36,23.07588,-5.32087,56540.44341,0
BPSCS22957-23,1004009006288,20.32,0.37,23.07591,-5.32137,56548.36660,0
BPSCS22957-23,1004009006288,20.72,0.46,23.07607,-5.32068,56548.37997,0
BPSCS22957-23,1004009006288,20.49,0.37,23.07608,-5.32068,56570.27535,0
BPSCS22957-23,1004009006288,19.52,0.22,23.07592,-5.31977,56570.28653,0
BPSCS22957-23,1004009006288,20.23,0.32,23.07552,-5.32056,56580.27601,0
BPSCS22957-23,1004009006288,18.88,0.16,23.07687,-5.32078,56596.26326,0
MCT0001-2443,1023023017845,18.86,0.17,67.74825,-24.43908,53680.40733,0
MCT0001-2443,1023023017845,18.77,0.16,67.74809,-24.43886,53680.41286,0
MCT0001-2443,1023023017845,18.79,0.16,67.74815,-24.43910,53680.41837,0
MCT0001-2443,1023023017845,19.00,0.18,67.74796,-24.43893,53680.42391,0
MCT0001-2443,1023023017845,18.26,0.13,67.74793,-24.43896,53673.40450,0
MCT0001-2443,1023023017845,18.85,0.17,67.74819,-24.43907,53673.41192,0
MCT0001-2443,1023023017845,18.98,0.18,67.74820,-24.43899,53673.41937,0
MCT0001-2443,1023023017845,18.70,0.16,67.74798,-24.43891,53673.42680,0
MCT0001-2443,1023023017845,18.85,0.16,67.74816,-24.43889,54064.31400,0
MCT0001-2443,1023023017845,18.80,0.15,67.74783,-24.43890,54064.32167,0
MCT0001-2443,1023023017845,18.54,0.14,67.74836,-24.43915,54064.32931,0
MCT0001-2443,1023023017845,18.56,0.14,67.74800,-24.43897,54064.33696,0
MCT0001-2443,1023023017845,18.89,0.16,67.74791,-24.43881,54453.22247,0
